GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
0500000US38001,38001,"Adams County, North Dakota",1773,60,10,12,0,9,0,9,0,9,2,4,3,4,0,9,2,5,0,9,4,5,81,32,15,13,13,11,13,13,15,15,624,74,43,21,114,42,340,64,116,35,296,68,58,30,14,10,10,10
0500000US38003,38003,"Barnes County, North Dakota",7814,58,37,38,0,14,0,14,0,14,0,14,4,7,0,14,24,29,12,17,13,18,343,80,117,75,66,33,101,51,105,46,2277,223,380,99,406,84,1266,184,620,98,1505,165,397,112,95,55,46,33
0500000US38005,38005,"Benson County, North Dakota",3851,3,22,17,0,12,0,12,0,12,0,12,10,10,2,3,0,12,12,8,38,27,151,37,64,26,151,51,177,40,67,28,1051,102,207,46,248,58,667,80,556,69,357,65,50,20,11,8,10,8
0500000US38007,38007,"Billings County, North Dakota",650,84,5,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,6,28,22,12,10,8,7,6,7,7,8,222,54,13,8,41,21,91,30,66,32,119,41,15,12,13,12,0,9
0500000US38009,38009,"Bottineau County, North Dakota",4651,44,13,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,17,25,25,186,46,41,22,121,47,128,49,46,27,1059,135,185,49,392,83,831,91,601,70,741,116,180,73,62,32,28,21
0500000US38011,38011,"Bowman County, North Dakota",2273,18,7,9,0,9,0,9,0,9,4,6,0,9,0,9,1,2,27,23,0,9,85,26,22,22,47,24,57,30,26,22,656,77,45,20,178,55,364,68,257,55,423,69,53,21,8,10,13,10
0500000US38013,38013,"Burke County, North Dakota",1501,64,2,4,0,9,0,9,0,9,0,9,0,9,0,9,1,3,0,9,0,9,72,32,29,17,24,16,23,18,9,8,527,51,38,16,94,29,292,53,158,39,178,36,52,22,0,9,2,3
0500000US38015,38015,"Burleigh County, North Dakota",54890,135,232,98,0,20,12,20,11,19,3,6,6,7,29,28,11,18,65,43,124,60,1548,224,316,110,557,148,557,143,445,142,10981,613,2162,320,3724,419,8302,597,7677,448,12333,650,3957,378,1107,216,731,198
0500000US38017,38017,"Cass County, North Dakota",93077,78,546,163,0,20,0,20,0,20,0,20,0,20,133,71,29,31,194,105,43,30,1265,218,268,79,794,185,976,218,818,226,16529,777,2868,400,5698,493,17185,767,11267,755,24184,972,6728,589,2091,369,1461,249
0500000US38019,38019,"Cavalier County, North Dakota",3002,39,25,17,0,9,0,9,0,9,0,9,10,11,13,14,0,9,0,9,5,7,174,63,43,27,56,32,22,19,31,24,797,91,104,43,273,67,499,85,454,87,394,73,62,35,35,20,5,7
0500000US38021,38021,"Dickey County, North Dakota",3589,16,20,21,0,12,0,12,4,5,0,12,0,12,11,12,0,12,5,6,2,3,265,80,54,37,42,26,65,33,29,22,940,90,117,40,209,58,513,80,471,96,705,100,110,49,18,15,9,8
0500000US38023,38023,"Divide County, North Dakota",1665,62,0,9,0,9,0,9,0,9,0,9,4,6,8,11,0,9,4,6,5,10,75,31,2,4,20,16,20,11,14,11,541,88,1,3,111,43,288,71,224,59,307,63,31,19,0,9,10,11
0500000US38025,38025,"Dunn County, North Dakota",2601,61,0,9,2,5,0,9,0,9,0,9,0,9,2,3,0,9,0,9,21,21,112,37,3,5,51,22,41,17,36,17,838,120,69,27,210,58,450,69,313,79,369,63,63,30,18,17,3,4
0500000US38027,38027,"Eddy County, North Dakota",1764,52,16,10,0,9,0,9,14,25,0,9,0,9,3,6,1,2,0,9,5,9,132,37,17,14,14,9,44,21,12,10,451,72,77,28,143,34,302,59,207,43,256,50,57,27,6,7,7,8
