GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Less than high school graduate,Margin of Error; Total: - Male: - Less than high school graduate,Estimate; Total: - Male: - High school graduate (includes equivalency),Margin of Error; Total: - Male: - High school graduate (includes equivalency),Estimate; Total: - Male: - Some college or associate's degree,Margin of Error; Total: - Male: - Some college or associate's degree,Estimate; Total: - Male: - Bachelor's degree,Margin of Error; Total: - Male: - Bachelor's degree,Estimate; Total: - Male: - Graduate or professional degree,Margin of Error; Total: - Male: - Graduate or professional degree,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Less than high school graduate,Margin of Error; Total: - Female: - Less than high school graduate,Estimate; Total: - Female: - High school graduate (includes equivalency),Margin of Error; Total: - Female: - High school graduate (includes equivalency),Estimate; Total: - Female: - Some college or associate's degree,Margin of Error; Total: - Female: - Some college or associate's degree,Estimate; Total: - Female: - Bachelor's degree,Margin of Error; Total: - Female: - Bachelor's degree,Estimate; Total: - Female: - Graduate or professional degree,Margin of Error; Total: - Female: - Graduate or professional degree
0500000US38001,38001,"Adams County, North Dakota",31286,2447,7083,32103,26350,3993,32961,3339,35893,10006,56250,25536,40169,4995,23750,64188,33958,10454,34821,8575,42188,12196,93500,94696,25861,2730,7083,18118,19286,6833,28750,6460,28625,5918,39583,11873
0500000US38003,38003,"Barnes County, North Dakota",33917,1801,29375,7836,32292,3994,37500,4287,31682,3283,48750,6440,43486,1467,33031,3464,42157,5516,46771,6877,39615,7642,53333,10884,25360,1646,6923,9795,22500,3795,25530,1729,28553,5468,44844,11182
0500000US38005,38005,"Benson County, North Dakota",25390,1410,14904,4791,21113,1519,26846,1980,36250,5497,38571,4446,30575,2294,19306,7095,27059,5729,39205,5966,41806,2667,41250,6544,20757,3364,10417,2485,15586,2520,22958,3328,31926,2687,36250,12148
0500000US38007,38007,"Billings County, North Dakota",36544,12469,8750,18857,36429,17098,49063,15529,45104,28955,32188,21486,46953,16360,12083,27162,40156,51838,54688,29836,48750,14023,-,**,27250,10449,6719,10957,36250,14398,19659,25694,25714,7984,31563,8953
0500000US38009,38009,"Bottineau County, North Dakota",36676,2685,19531,10323,30558,3070,35038,4180,41563,1846,91250,45366,49505,3539,25714,18698,39524,4033,49348,6394,63095,17727,93724,1201,25186,1674,4398,5463,20486,5752,25481,3817,31607,5265,52639,21448
0500000US38011,38011,"Bowman County, North Dakota",36250,3418,21786,16902,34318,4484,35870,6642,40962,3574,40417,21067,49583,5245,45500,23227,50000,10257,52019,6212,47500,26164,20833,11849,22107,3469,9211,1488,20000,7519,21193,3460,31429,16743,53250,17203
0500000US38013,38013,"Burke County, North Dakota",34648,4903,17083,22854,34861,10269,40568,14172,32438,14858,51250,12670,54135,3942,34904,30286,55250,8377,53938,5609,54583,25501,59375,41399,21068,1348,4125,3911,18571,4597,21700,1855,30481,7000,50500,20491
0500000US38015,38015,"Burleigh County, North Dakota",38885,993,20449,4415,29781,1818,35075,1312,47218,1497,59303,3956,46703,1676,22796,7067,38640,2615,43508,2370,57073,4284,71000,6946,31109,952,11500,5465,23328,1586,28214,1393,40827,1676,51482,1475
0500000US38017,38017,"Cass County, North Dakota",36957,753,22397,4666,30227,1546,33940,723,41153,1607,62157,2286,43163,1141,25544,3485,36267,1577,40968,1632,50126,3769,74143,6710,31301,678,15750,3849,22030,1938,28647,1968,36533,1733,56891,5070
