North Dakota Field Production of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=M&n=PET&s=MCRFPND1
11:23:11 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Month,North Dakota Field Production of Crude Oil Thousand Barrels
Dec 2018,42574
Nov 2018,40639
Oct 2018,42593
Sep 2018,40207
Aug 2018,39527
Jul 2018,38954
Jun 2018,36557
May 2018,38286
Apr 2018,36325
Mar 2018,35503
Feb 2018,32228
Jan 2018,35902
Dec 2017,36668
Nov 2017,35909
Oct 2017,36698
Sep 2017,32892
Aug 2017,33435
Jul 2017,32222
Jun 2017,30697
May 2017,31913
Apr 2017,31208
Mar 2017,31508
Feb 2017,28714
Jan 2017,30263
Dec 2016,28995
Nov 2016,30796
Oct 2016,32145
Sep 2016,28966
Aug 2016,30263
Jul 2016,31723
Jun 2016,30595
May 2016,32244
Apr 2016,31055
Mar 2016,34223
Feb 2016,32251
Jan 2016,34547
Dec 2015,35498
Nov 2015,35228
Oct 2015,36136
Sep 2015,34659
Aug 2015,36614
Jul 2015,37216
Jun 2015,36110
May 2015,37070
Apr 2015,34931
Mar 2015,36655
Feb 2015,32776
Jan 2015,36690
Dec 2014,37856
Nov 2014,35438
Oct 2014,36464
Sep 2014,35326
Aug 2014,34930
Jul 2014,34363
Jun 2014,32573
May 2014,32061
Apr 2014,29972
Mar 2014,30112
Feb 2014,26525
Jan 2014,28982
Dec 2013,28738
Nov 2013,29217
Oct 2013,29170
Sep 2013,27915
Aug 2013,28134
Jul 2013,26942
Jun 2013,24591
May 2013,25015
Apr 2013,23696
Mar 2013,24276
Feb 2013,21787
Jan 2013,22812
Dec 2012,23729
Nov 2012,21997
Oct 2012,23147
Sep 2012,21782
Aug 2012,21745
Jul 2012,20884
Jun 2012,19865
May 2012,19884
Apr 2012,18282
Mar 2012,17954
Feb 2012,16137
Jan 2012,16920
Dec 2011,16529
Nov 2011,15255
Oct 2011,15144
Sep 2011,13863
Aug 2011,13772
Jul 2011,13149
Jun 2011,11528
May 2011,11233
Apr 2011,10489
Mar 2011,11124
Feb 2011,9719
Jan 2011,10582
Dec 2010,10619
Nov 2010,10665
Oct 2010,10608
Sep 2010,10253
Aug 2010,10178
Jul 2010,9930
Jun 2010,9397
May 2010,9221
Apr 2010,8509
Mar 2010,8567
Feb 2010,7287
Jan 2010,7291
Dec 2009,7473
Nov 2009,7353
Oct 2009,7420
Sep 2009,7106
Aug 2009,7164
Jul 2009,7025
Jun 2009,6416
May 2009,6341
Apr 2009,5872
Mar 2009,6015
Feb 2009,5348
Jan 2009,5785
Dec 2008,6243
Nov 2008,6433
Oct 2008,6285
Sep 2008,5656
Aug 2008,5506
Jul 2008,5322
Jun 2008,4946
May 2008,4807
Apr 2008,4488
Mar 2008,4428
Feb 2008,3975
Jan 2008,4233
Dec 2007,4186
Nov 2007,3894
Oct 2007,3977
Sep 2007,3780
Aug 2007,3831
Jul 2007,3807
Jun 2007,3640
May 2007,3706
Apr 2007,3533
Mar 2007,3632
Feb 2007,3253
Jan 2007,3549
Dec 2006,3540
Nov 2006,3432
Oct 2006,3495
Sep 2006,3355
Aug 2006,3452
Jul 2006,3391
Jun 2006,3319
May 2006,3368
Apr 2006,3076
Mar 2006,3253
Feb 2006,2886
Jan 2006,3024
Dec 2005,3232
Nov 2005,3155
Oct 2005,3188
Sep 2005,3041
Aug 2005,3097
Jul 2005,3039
Jun 2005,2869
May 2005,2889
Apr 2005,2820
Mar 2005,2957
Feb 2005,2590
Jan 2005,2797
Dec 2004,2868
Nov 2004,2735
Oct 2004,2734
Sep 2004,2610
Aug 2004,2673
Jul 2004,2593
Jun 2004,2533
May 2004,2603
Apr 2004,2497
Mar 2004,2546
Feb 2004,2306
Jan 2004,2454
Dec 2003,2497
Nov 2003,2399
Oct 2003,2458
Sep 2003,2422
Aug 2003,2481
Jul 2003,2484
Jun 2003,2398
May 2003,2462
Apr 2003,2405
Mar 2003,2531
Feb 2003,2316
Jan 2003,2556
Dec 2002,2580
Nov 2002,2535
Oct 2002,2613
Sep 2002,2539
Aug 2002,2647
Jul 2002,2583
Jun 2002,2505
May 2002,2611
